Title,Authors,Companies,Issues,Sectors,Countries,Lawsuit Status
Rio Tinto lawsuit (re Papua New Guinea),0,126,38,Mining,PG|US,OPEN
Coca-Cola lawsuit (re racial discrimination in USA),0,43,159,Food & beverage,US,CLOSED
Shell lawsuit (re executions in Nigeria Kiobel v Shell filed in USA),2,128,46,Oil gas & coal,NG|US,CLOSED
BP lawsuit (re Alaska),0,23,130,Oil gas & coal,US,OPEN
Chevron lawsuit (re Nigeria),0,35,61,Oil gas & coal,NG|US,CLOSED
ExxonMobil lawsuit (re Aceh),0,64,160,,,OPEN
Coca-Cola lawsuit (re Colombia),1,43,62,Food & beverage,CO|US,OPEN
Cambior lawsuit (re Omai Gold mine filed in Guyana),0,33,24,Mining,GY,CLOSED
Slavery reparations lawsuit (re USA),0,163,79,Clothing & textile|Finance & banking|Insurance|Railroad|Tobacco,US,CLOSED
BHP lawsuit (re Papua New Guinea),0,21,130,Mining,AU|PG,OPEN
Talisman lawsuit (re Sudan),0,141,37,Oil gas & coal,SD|US,OPEN
Occidental lawsuit (re Colombia),0,7,86,Oil gas & coal,CO|US,CLOSED
Apartheid reparations lawsuits (re So. Africa),0,71,111,Automobile & other motor vehicles,US|ZA,CLOSED
Freeport-McMoRan lawsuits (re West Papua),0,69,49,Mining,ID|US,CLOSED
IBM lawsuit (Holocaust claim by Gypsies),0,85,81,Technology telecom & electronics,CH|DE,CLOSED
German cos. lawsuit (by Hereros),0,56,133,Finance & banking,NA|US,CLOSED
Cape/Gencor lawsuits (re So. Africa),0,34,125,Asbestos|Mining,GB|ZA,CLOSED
U.S. apparel cos. lawsuit (re Saipan),0,163,156,Clothing & textile,US,CLOSED
Walmart lawsuit (re gender discrimination in USA),0,158,144,Retail,US,OPEN
Fadeyeva v Russia (re Severstal smelter),0,134,125,Metals & steel,RU,OPEN
Blackwater USA lawsuit (re 16 Sep 2007 Baghdad incident),0,3,108,Military/defence|Security companies,IQ|US,OPEN
AngloGold Ashanti silicosis lawsuit (So. Africa),0,12,149,Mining,ZA,OPEN
Yahoo! lawsuit (re China),0,159,112,Internet & social media,CN|US,CLOSED
Chiquita lawsuits (re Colombia filed in USA by Colombian nationals),0,40,0,Agriculture & livestock|Automobile & other motor vehicles|Chocolate & cocoa|Construction|Diversified/Conglomerates|Food & beverage|Military/defence|Mining|Oil gas & coal|Palm trees & oil|Security companies|Technology telecom & electronics,CO|US,OPEN
Firestone lawsuit (re Liberia),0,29,72,Rubber,LR|US,CLOSED
BP lawsuit (re Colombia),0,23,34,Oil gas & coal,CO|GB,CLOSED
Nokia lawsuit (re HBV discrimination in China),0,111,6,Finance & banking|Food & beverage|Jewellery|Technology telecom & electronics,CN,CLOSED
Jeppesen lawsuit (re extraordinary rendition flights),0,89,54,Aircraft/Airline,AF|CU|EG|MA|US,CLOSED
Vedanta Resources lawsuit (re Dongria Kondh in Orissa),0,137,32,Mining,IN,CLOSED
KBR lawsuit (re human trafficking in Iraq),0,92,51,Security companies,IQ|US,CLOSED
Coca-Cola lawsuit (re India),0,43,21,Food & beverage,IN,OPEN
Kivalina lawsuit (re global warming),0,0,76,Oil gas & coal,US,CLOSED
Barrick Gold lawsuit (re Western Shoshone tribes USA),0,26,15,Mining,US,CLOSED
Nishimatsu lawsuit (re World War II forced labour),0,110,136,Construction,JP,CLOSED
Chisso Corporation lawsuit (re Minamata disease),0,41,24,Metals & steel,JP,CLOSED
Statoil lawsuit (re Human Rights Advisor),0,62,80,Oil gas & coal,NO|US,CLOSED
Abu Ghraib lawsuits against CACI Titan (now L-3),0,32,67,Military/defence,IQ|US,OPEN
Anvil Mining lawsuit (re complicity in Dem. Rep. of Congo filed in DRC),0,15,40,Mining,CD,CLOSED
Lidl lawsuit (re working conditions in Bangladesh),0,99,154,Clothing & textile,BD|DE,CLOSED
Monterrico Metals lawsuit (re Peru),0,104,43,Mining,GB|PE,CLOSED
China Construction Bank lawsuit,0,39,36,Finance & banking,CN|US,OPEN
Sanlu lawsuits (re tainted milk in China),0,66,98,Food & beverage,CN,CLOSED
KBR lawsuits (re alleged rapes in Iraq),0,92,52,Security companies,IQ|US,CLOSED
DLH lawsuit (re Liberian civil war),0,53,90,Logging & lumber,FR|LR,CLOSED
Cisco Systems lawsuits (re China),0,42,48,Technology telecom & electronics,CN|US,OPEN
Amesys lawsuit (re Libya),0,30,89,Technology telecom & electronics,FR|LY,OPEN
Shell/BASF lawsuit (re Brazil),0,128,24,Oil gas & coal,BR,CLOSED
Curaçao Drydock Company lawsuit (re forced labour),0,51,141,Shipping ship-building & ship-scrapping,CU|US,CLOSED
Copper Mesa Mining lawsuit (re Ecuador),0,48,66,Mining,CA|EC,CLOSED
Global Horizons lawsuit (re forced labour civil proceedings),0,73,141,Recruitment agencies,US,CLOSED
Adidas lawsuit (re University of Wisconsin),0,161,157,Clothing & textile,ID|US,CLOSED
Esmor Correctional Services lawsuit (re immigration detention facility),0,49,56,Prison companies,US,CLOSED
"PA Child Care lawsuits (re ""kids for cash"" scandal)",0,163,39,Prison companies,US,CLOSED
Nestlé lawsuit (re Colombia),0,106,155,Food & beverage,CH|CO,OPEN
Gold miner silicosis litigation (re So. Africa),0,6,148,Mining,ZA,CLOSED
US Deepwater Horizon explosion & oil spill lawsuits,0,163,96,Oil gas & coal,US,CLOSED
Eternit lawsuit (re asbestos exposure in Italy),0,63,68,Asbestos|Cement|Clothing & textile|Construction,IT,OPEN
