Companies,Count
Cape PLC|Gencor (mining),4
Yahoo! (part of Verizon),2
Bridgestone-Firestone (part of Bridgestone),2
Nokia,4
Anvil Mining (part of China Minmetals),2
Monterrico Metals (part of Zijin),2
Bull (part of Atos)|Nexa Technologies (formerly AMESys (Advanced Middle East Systems)/Amesys (part of Bull)),3
Global Horizons,3
adidas,2
Nestlé,2
Compagnie Minière de l'Ogooué (COMILOG) (part of ERAMET),4
Kenya Pipeline Company,2
Auchan,2
Green Park International,2
Danzer,2
Tahoe Resources (part of Pan American Silver),2
Royal Dutch Shell (Shell)|Shell Petroleum Development Company of Nigeria (SPDC),2
Vale,2
Costco,5
BP|Chevron|ConocoPhillips|Eni|Equinor (formerly Statoil)|ExxonMobil|Marathon Oil|Marathon Petroleum|Occidental Petroleum|Pemex|Royal Dutch Shell (Shell)|Total,2
Formosa Plastics,2
Nigerian National Petroleum Corporation (NNPC)|Shell Petroleum Development Company of Nigeria (SPDC),2
AGIP (part of Eni)|Chevron|Nigerian National Petroleum Corporation (NNPC)|Shell Petroleum Development Company of Nigeria (SPDC)|Total,2
Hudbay Minerals,2
George Weston|Joe Fresh (part of Loblaw Companies)|Loblaw Companies,6
